iter	Passed	Remaining
411	457153	97644
412	458145	96510
413	459301	95410
414	460422	94303
415	461494	93186
416	463014	92158
417	463884	91001
418	464701	89834
419	465624	88690
420	466672	87570
421	467800	86465
422	468818	85340
423	469901	84227
424	470979	83113
425	472135	82014
426	473128	80886
427	474043	79745
428	475088	78627
429	476362	77547
430	477490	76442
431	478551	75327
432	479368	74174
433	480417	73058
434	481615	71965
435	482786	70867
436	483900	69761
437	485047	68659
438	486288	67570
439	487377	66460
440	488603	65368
441	489621	64248
442	490457	63106
443	491276	61962
444	492382	60856
445	493429	59742
446	494281	58606
447	495394	57501
448	496532	56399
449	497815	55312
450	498733	54186
451	499751	53070
452	500924	51972
453	502124	50876
454	503096	49756
455	503923	48624
456	505400	47554
457	506861	46480
458	507968	45374
459	509079	44267
460	510291	43170
461	511402	42063
462	512415	40948
463	513360	39829
464	514466	38723
465	515671	37624
466	516713	36512
467	517726	35400
468	518689	34284
469	519673	33170
470	520883	32071
471	521819	30955
472	522664	29834
473	523496	28714
474	524564	27608
475	525562	26498
476	526654	25394
477	528045	24303
478	529226	23202
479	530214	22092
480	531171	20981
481	532449	19884
482	533755	18786
483	535222	17693
484	536310	16586
485	536977	15468
486	537980	14360
487	539200	13259
488	540417	12156
489	541556	11052
490	542551	9944
491	543539	8838
492	544704	7734
493	545810	6629
494	546924	5524
495	547921	4418
496	549100	3314
497	550124	2209
498	551106	1104
499	552213	0
