iter	F1	Logloss
270	0.9357393659	0.07043104546
271	0.9357853075	0.07039993847
272	0.9358698365	0.07030659589
273	0.9359860389	0.07021581656
274	0.9359940201	0.07016276602
275	0.9361939026	0.07002593389
276	0.9363280601	0.0698993717
277	0.9363821671	0.06985152198
278	0.9365274388	0.06975985098
279	0.9365376577	0.06972676333
280	0.9365698206	0.06965748888
281	0.9365762171	0.06963581635
282	0.9367682768	0.06950796549
283	0.9368030127	0.06946792029
284	0.9369272986	0.06927406273
285	0.936955969	0.06924469176
286	0.9373332032	0.06900026603
287	0.9374764957	0.06881823783
288	0.9374746521	0.06876945707
289	0.9375043621	0.06874159741
290	0.9375574013	0.06870395909
291	0.9376206167	0.06860500015
292	0.9376544837	0.06854481134
293	0.9376818276	0.06846967969
294	0.9377860171	0.06836627238
295	0.9378195299	0.06831611761
296	0.937895756	0.06822372098
297	0.937996763	0.06812046354
298	0.9380449572	0.06808294589
299	0.9380828746	0.06801621414
300	0.9381743698	0.06793413524
301	0.9381965538	0.06790139356
302	0.9382968734	0.06778564103
303	0.9383417925	0.06774904274
304	0.9383695951	0.06770812133
305	0.9384586931	0.06762637086
306	0.9384772979	0.0675589329
307	0.9387550201	0.06725734166
308	0.9387764448	0.06724224155
309	0.938913539	0.06714118427
310	0.9390628734	0.06699384409
311	0.939178343	0.06684285759
312	0.9392827003	0.06675328791
313	0.939310175	0.06671501681
314	0.9393168835	0.06668296414
315	0.9393709109	0.06660049917
316	0.9394078324	0.0665695113
317	0.9394408823	0.06652082898
318	0.9395069208	0.06647332972
319	0.9395303129	0.06644313176
320	0.939542393	0.06641848559
321	0.9396059915	0.06633482243
322	0.9396433799	0.0663128857
323	0.9397084207	0.06618699057
324	0.9397408972	0.06613898957
325	0.9397645838	0.0661047222
326	0.939794812	0.06607479223
327	0.9398405859	0.06603632004
328	0.9399548523	0.06593632894
329	0.9400313047	0.06582647782
330	0.9401824775	0.06563675853
331	0.9402626737	0.0654977028
332	0.9403439155	0.06545290134
333	0.9403583249	0.06541523542
334	0.9404068256	0.06536154002
335	0.9406618066	0.06517858876
336	0.9407440415	0.06507769977
337	0.9408949689	0.06498523205
338	0.9409504975	0.06492572071
339	0.940959756	0.06490206571
340	0.940955146	0.06487241551
341	0.940983401	0.06484948245
342	0.9410227454	0.06480284654
343	0.941240201	0.06462458405
344	0.9412996931	0.06453702959
345	0.9414057575	0.06440862265
346	0.9415155948	0.06425551882
347	0.94162998	0.06412844404
348	0.9416965377	0.06404158158
349	0.9417166558	0.06400532348
350	0.9418231277	0.06389170598
351	0.9419915543	0.06377640159
352	0.9420191641	0.06375571679
353	0.9420594015	0.0636808666
354	0.9420856426	0.06364384189
355	0.9420969583	0.06362660944
356	0.9421847636	0.06353662912
357	0.9421859603	0.06351308619
358	0.9422165688	0.06349150639
359	0.9422722122	0.06342229344
360	0.942317106	0.06338491829
361	0.9423310326	0.06336992009
362	0.9423616439	0.06331667116
363	0.9425076097	0.06321136757
364	0.9425215901	0.06316063372
365	0.9426293624	0.06309705623
366	0.9426504069	0.06307413611
367	0.9427032999	0.06300525213
368	0.9427320583	0.06296529475
369	0.9427548687	0.06293820105
370	0.9427714753	0.0629264262
371	0.9427722051	0.06290627759
372	0.9429733514	0.06273025759
373	0.9430412973	0.06265372344
374	0.9430507836	0.06263005295
375	0.9431412665	0.06245761685
376	0.9432771161	0.06234850173
377	0.9433155472	0.06229033057
378	0.9433460117	0.06226364902
379	0.9434127682	0.06217401619
380	0.9434206415	0.0621475987
381	0.9434549655	0.06212662593
382	0.9434773538	0.06206987873
383	0.9435061028	0.06204306612
384	0.9435245072	0.06202648911
385	0.9435389682	0.06201155929
386	0.9436010335	0.06193333881
387	0.9437172807	0.06183601458
388	0.9437471529	0.0617978568
389	0.9437712095	0.06174792216
390	0.9437850226	0.06169741083
391	0.9438083561	0.0616752725
392	0.9438156856	0.06165027757
393	0.943870851	0.0616193643
394	0.9438703765	0.06160962373
395	0.9440550541	0.06139119314
396	0.9440958262	0.06133876594
397	0.9441128677	0.06127774566
398	0.9441177854	0.06125618639
399	0.9442240746	0.06117846543
400	0.9442453269	0.06113990847
401	0.9443039699	0.06106358167
402	0.94436087	0.06101854211
403	0.9443676638	0.06097808497
404	0.9445496578	0.06081116833
405	0.9446385764	0.06071467183
406	0.944724358	0.06064541671
407	0.9447226594	0.06062577371
408	0.9447794197	0.06055172755
409	0.9448079249	0.06052523638
410	0.9447918362	0.06051267053
411	0.9448563477	0.06041643669
412	0.9449097231	0.06034270457
413	0.9449249838	0.06031244316
414	0.9449202215	0.06029536905
415	0.9449592362	0.06024867118
416	0.9449562115	0.06023118228
417	0.9450134139	0.06018402946
418	0.9450549451	0.06011687974
419	0.9451188012	0.06005123425
420	0.9451488953	0.06001782738
421	0.9451597978	0.0600051998
422	0.9451838246	0.05997263634
423	0.9452218894	0.05992643141
424	0.9452871638	0.05987496598
425	0.9453697763	0.05978537123
426	0.9453835877	0.05974800099
427	0.9455375035	0.05963239146
428	0.9455823929	0.05957196707
429	0.9456076658	0.05955232815
430	0.9456343215	0.0595325217
431	0.945669823	0.05949893886
432	0.9456852059	0.05945693857
433	0.9457254017	0.05940041325
434	0.9457887652	0.05934636858
435	0.9457978631	0.05932292882
436	0.9458443781	0.05928678344
437	0.9458502806	0.05925875885
438	0.9458757858	0.05923046942
439	0.9459356139	0.05915735955
440	0.9459464032	0.05913779903
441	0.9459664572	0.05910812428
442	0.9459896759	0.05907167892
443	0.9460110998	0.05905012508
444	0.946103786	0.05896108493
445	0.9461490394	0.05891450548
446	0.9461692398	0.05888780419
447	0.946328879	0.05869353699
448	0.9463783568	0.05863332267
449	0.9463891251	0.05859590174
450	0.9463940888	0.05857652809
451	0.9464658871	0.05853028033
452	0.9465018787	0.0584857752
453	0.9465161712	0.05847233854
454	0.9465249334	0.05845817365
455	0.9465421188	0.05842730343
456	0.9465686525	0.05840609977
457	0.9465910381	0.05838886326
458	0.9465935293	0.05838170992
459	0.9466421473	0.05833340644
460	0.9466640532	0.05830144202
461	0.9466670302	0.05828294659
462	0.9466875133	0.058256901
463	0.9468010299	0.05820107031
464	0.946821453	0.05818330188
465	0.9468255699	0.05816887608
466	0.9468648333	0.05810943258
467	0.94688553	0.05809140429
468	0.9469385981	0.0580401335
469	0.9470309528	0.05791162564
470	0.9470881912	0.05785483769
471	0.947099639	0.05782793933
472	0.9471084256	0.05782007603
473	0.9471013125	0.05781576277
474	0.9471194825	0.05780498106
475	0.9472629856	0.05768661827
476	0.9472755481	0.05765673871
477	0.9473169423	0.05762425665
478	0.9473947764	0.05753176009
479	0.9473934323	0.0575202197
480	0.9474504552	0.05747722355
481	0.9474655859	0.05745636106
482	0.9475292093	0.05740061562
483	0.9475403539	0.05738573901
484	0.9475489175	0.05737415696
485	0.9475438301	0.057364158
486	0.947570064	0.0573414635
487	0.9475865022	0.05732165569
488	0.947603482	0.0573028771
489	0.9476332337	0.0572657362
490	0.9476518128	0.05724365383
491	0.9476979911	0.05717644422
492	0.947702423	0.05715312453
493	0.947745636	0.05711948871
494	0.9477827425	0.05708304008
495	0.9478479372	0.05702518699
496	0.9478567465	0.05701187548
497	0.9479650212	0.05693678452
498	0.9479934133	0.05690833634
499	0.9480083349	0.05687926703
